<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
AUDUSD,20080101,0.8759,0.8765,0.8755,0.8759
AUDUSD,20080102,0.8760,0.8843,0.8760,0.8839
AUDUSD,20080103,0.8840,0.8845,0.8785,0.8800
AUDUSD,20080104,0.8801,0.8833,0.8698,0.8702
AUDUSD,20080106,0.8715,0.8724,0.8710,0.8714
AUDUSD,20080107,0.8714,0.8746,0.8681,0.8725
AUDUSD,20080108,0.8725,0.8836,0.8702,0.8795
AUDUSD,20080109,0.8793,0.8854,0.8784,0.8839
AUDUSD,20080110,0.8839,0.8973,0.8809,0.8946
AUDUSD,20080111,0.8945,0.8969,0.8896,0.8908
AUDUSD,20080113,0.8890,0.8915,0.8890,0.8913
AUDUSD,20080114,0.8915,0.9001,0.8908,0.8986
AUDUSD,20080115,0.8985,0.9016,0.8780,0.8810
AUDUSD,20080116,0.8810,0.8865,0.8742,0.8790
AUDUSD,20080117,0.8789,0.8878,0.8758,0.8780
AUDUSD,20080118,0.8778,0.8848,0.8699,0.8799
AUDUSD,20080120,0.8788,0.8814,0.8788,0.8801
AUDUSD,20080121,0.8807,0.8817,0.8577,0.8578
AUDUSD,20080122,0.8583,0.8718,0.8511,0.8700
AUDUSD,20080123,0.8698,0.8745,0.8610,0.8732
AUDUSD,20080124,0.8730,0.8829,0.8690,0.8822
AUDUSD,20080125,0.8824,0.8851,0.8772,0.8802
AUDUSD,20080127,0.8780,0.8803,0.8779,0.8795
AUDUSD,20080128,0.8799,0.8893,0.8766,0.8887
AUDUSD,20080129,0.8885,0.8902,0.8858,0.8874
AUDUSD,20080130,0.8872,0.9013,0.8859,0.8911
AUDUSD,20080131,0.8909,0.8980,0.8819,0.8957
AUDUSD,20080201,0.8956,0.9045,0.8942,0.9041
AUDUSD,20080203,0.9031,0.9040,0.9023,0.9024
AUDUSD,20080204,0.9024,0.9098,0.9021,0.9080
AUDUSD,20080205,0.9078,0.9088,0.8940,0.8955
AUDUSD,20080206,0.8962,0.8996,0.8906,0.8945
AUDUSD,20080207,0.8936,0.8973,0.8872,0.8950
AUDUSD,20080208,0.8948,0.8983,0.8913,0.8950
AUDUSD,20080210,0.8956,0.8969,0.8950,0.8969
AUDUSD,20080211,0.8964,0.9055,0.8954,0.9040
AUDUSD,20080212,0.9040,0.9083,0.9018,0.9035
AUDUSD,20080213,0.9039,0.9044,0.8922,0.8963
